User_ID,Cust_name,Product_ID,Gender,Age Group,Age,Marital_Status,State,Zone,Occupation,Product_Category,Orders,Amount,Status,unnamed1
1000001,Customer_0,P07370,M,26-35,29,0,Maharashtra,Western,IT Sector,Electronics & Gadgets,4,2169.41,,
1000002,Customer_1,P00960,F,26-35,29,0,Delhi,Central,Food Processing,Food,1,4522.91,,
1000003,Customer_2,P05490,F,46-50,49,1,Karnataka,Southern,Textile,Stationery,2,,,
1000004,Customer_3,P05291,F,36-45,39,0,Maharashtra,Western,Govt,Clothing & Apparel,4,3018.05,,
1000005,Customer_4,P05834,M,36-45,39,1,Karnataka,Southern,Automobile,Food,3,5535.68,,
1000006,Customer_5,P06365,F,18-25,24,0,Maharashtra,Western,Aviation,Clothing & Apparel,1,5701.51,,
1000007,Customer_6,P00566,F,26-35,32,1,Madhya Pradesh,Central,Construction,Footwear & Shoes,4,27514.6,,
1000008,Customer_7,P04526,M,36-45,41,1,Gujarat,Western,Automobile,Electronics & Gadgets,2,6667.47,,
1000009,Customer_8,P05678,F,26-35,30,0,Uttar Pradesh,Central,Food Processing,Food,4,23839.03,,
1000010,Customer_9,P08422,M,26-35,31,1,Delhi,Central,Banking,Electronics & Gadgets,1,15287.43,,
1000011,Customer_10,P01785,F,26-35,31,0,Madhya Pradesh,Central,Healthcare,Tupperware,4,12679.88,,
1000012,Customer_11,P00869,F,26-35,28,0,Gujarat,Western,Banking,Tupperware,1,5210.07,,
1000013,Customer_12,P07049,F,36-45,39,1,Karnataka,Southern,Healthcare,Food,2,6454.64,,
1000014,Customer_13,P02533,F,26-35,28,1,Gujarat,Western,Automobile,Veterinary,4,2364.68,,
1000015,Customer_14,P05411,F,36-45,39,1,Haryana,Northern,IT Sector,Clothing & Apparel,2,5790.13,,
1000016,Customer_15,P05151,F,18-25,23,1,Delhi,Central,Aviation,Furniture,1,18346.78,,
1000017,Customer_16,P06520,F,46-50,47,1,Maharashtra,Western,IT Sector,Food,2,14163.33,,
1000018,Customer_17,P01284,M,26-35,30,1,Andhra Pradesh,Southern,Food Processing,Electronics & Gadgets,1,15217.24,,
1000019,Customer_18,P04655,F,36-45,40,1,Maharashtra,Western,Aviation,Clothing & Apparel,3,4004.12,,
1000020,Customer_19,P03485,M,36-45,41,1,Karnataka,Southern,Construction,Footwear & Shoes,4,3886.15,,
1000021,Customer_20,P06496,F,26-35,32,1,Delhi,Central,IT Sector,Clothing & Apparel,1,10709.5,,
1000022,Customer_21,P08766,F,51-55,53,1,Delhi,Central,Healthcare,Bliss Balls,3,10427.59,,
1000023,Customer_22,P09374,F,36-45,41,1,Maharashtra,Western,Food Processing,Electronics & Gadgets,2,3738.39,,
1000024,Customer_23,P02658,F,26-35,28,1,Madhya Pradesh,Central,Govt,Electronics & Gadgets,4,12173.64,,
1000025,Customer_24,P07949,F,26-35,32,0,Tamil Nadu,Southern,IT Sector,Stationery,4,5774.77,,
1000026,Customer_25,P02147,F,51-55,53,0,Maharashtra,Western,Agriculture,Electronics & Gadgets,4,19428.98,,
1000027,Customer_26,P02847,F,36-45,41,1,Delhi,Central,Textile,Food,4,5626.47,,
1000028,Customer_27,P09267,M,26-35,31,0,Karnataka,Southern,Automobile,Clothing & Apparel,2,4090.51,,
1000029,Customer_28,P00289,M,26-35,28,0,Maharashtra,Western,Construction,Veterinary,4,3743.91,,
1000030,Customer_29,P02834,M,46-50,46,1,Karnataka,Southern,IT Sector,Clothing & Apparel,1,20277.9,,
1000031,Customer_30,P03105,F,36-45,42,1,Madhya Pradesh,Central,Construction,Veterinary,4,17730.58,,
1000032,Customer_31,P04758,M,36-45,40,0,Karnataka,Southern,IT Sector,Furniture,2,6439.17,,
